,resampling,test,metric,value
0,100,0,err_bin,0.024660570795234135
1,100,0,fnr_bin,0.00261437908496732
2,100,0,fpr_bin,0.03059071729957806
3,100,0,err_ens,0.0019395954558049321
4,100,0,fnr_ens,0.00261437908496732
5,100,0,fpr_ens,0.0017580872011251757
6,200,0,err_bin,0.02798559157661402
7,200,0,fnr_bin,0.00130718954248366
8,200,0,fpr_bin,0.035161744022503515
9,200,0,err_ens,0.0038791909116098642
10,200,0,fnr_ens,0.00261437908496732
11,200,0,fpr_ens,0.004219409282700422
12,500,0,err_bin,0.03131061235799391
13,500,0,fnr_bin,0.0
14,500,0,fpr_bin,0.039732770745428976
15,500,0,err_ens,0.0013854253255749516
16,500,0,fnr_ens,0.0
17,500,0,fpr_ens,0.0017580872011251757
18,100,1,err_bin,0.025214740925464118
19,100,1,fnr_bin,0.0
20,100,1,fpr_bin,0.0319971870604782
21,100,1,err_ens,0.005541701302299806
22,100,1,fnr_ens,0.0
23,100,1,fpr_ens,0.007032348804500703
24,200,1,err_bin,0.020781379883624274
25,200,1,fnr_bin,0.00130718954248366
26,200,1,fpr_bin,0.026019690576652602
27,200,1,err_ens,0.0019395954558049321
28,200,1,fnr_ens,0.00130718954248366
29,200,1,fpr_ens,0.002109704641350211
30,500,1,err_bin,0.021058464948739263
31,500,1,fnr_bin,0.0
32,500,1,fpr_bin,0.026722925457102673
33,500,1,err_ens,0.0024937655860349127
34,500,1,fnr_ens,0.0
35,500,1,fpr_ens,0.0031645569620253164
36,100,2,err_bin,0.021889720144084236
37,100,2,fnr_bin,0.00130718954248366
38,100,2,fpr_bin,0.027426160337552744
39,100,2,err_ens,0.0016625103906899418
40,100,2,fnr_ens,0.00130718954248366
41,100,2,fpr_ens,0.0017580872011251757
42,200,2,err_bin,0.02687725131615406
43,200,2,fnr_bin,0.0
44,200,2,fpr_bin,0.03410689170182841
45,200,2,err_ens,0.002770850651149903
46,200,2,fnr_ens,0.0
47,200,2,fpr_ens,0.0035161744022503515
48,500,2,err_bin,0.02798559157661402
49,500,2,fnr_bin,0.00130718954248366
50,500,2,fpr_bin,0.035161744022503515
51,500,2,err_ens,0.0024937655860349127
52,500,2,fnr_ens,0.00261437908496732
53,500,2,fpr_ens,0.0024613220815752463
54,100,3,err_bin,0.021889720144084236
55,100,3,fnr_bin,0.0
56,100,3,fpr_bin,0.027777777777777776
57,100,3,err_ens,0.0019395954558049321
58,100,3,fnr_ens,0.00130718954248366
59,100,3,fpr_ens,0.002109704641350211
60,200,3,err_bin,0.023829315599889166
61,200,3,fnr_bin,0.0
62,200,3,fpr_bin,0.030239099859353025
63,200,3,err_ens,0.002770850651149903
64,200,3,fnr_ens,0.0
65,200,3,fpr_ens,0.0035161744022503515
66,500,3,err_bin,0.024383485730119146
67,500,3,fnr_bin,0.0
68,500,3,fpr_bin,0.030942334739803096
69,500,3,err_ens,0.0019395954558049321
70,500,3,fnr_ens,0.0
71,500,3,fpr_ens,0.0024613220815752463
72,100,4,err_bin,0.025214740925464118
73,100,4,fnr_bin,0.0
74,100,4,fpr_bin,0.0319971870604782
75,100,4,err_ens,0.0016625103906899418
76,100,4,fnr_ens,0.0
77,100,4,fpr_ens,0.002109704641350211
78,200,4,err_bin,0.0199501246882793
79,200,4,fnr_bin,0.0
80,200,4,fpr_bin,0.02531645569620253
81,200,4,err_ens,0.0016625103906899418
82,200,4,fnr_ens,0.0
83,200,4,fpr_ens,0.002109704641350211
84,500,4,err_bin,0.020781379883624274
85,500,4,fnr_bin,0.0
86,500,4,fpr_bin,0.026371308016877638
87,500,4,err_ens,0.0008312551953449709
88,500,4,fnr_ens,0.0
89,500,4,fpr_ens,0.0010548523206751054
90,100,5,err_bin,0.0199501246882793
91,100,5,fnr_bin,0.0
92,100,5,fpr_bin,0.02531645569620253
93,100,5,err_ens,0.0005541701302299807
94,100,5,fnr_ens,0.0
95,100,5,fpr_ens,0.0007032348804500703
96,200,5,err_bin,0.02770850651149903
97,200,5,fnr_bin,0.0
98,200,5,fpr_bin,0.035161744022503515
99,200,5,err_ens,0.0024937655860349127
100,200,5,fnr_ens,0.0
101,200,5,fpr_ens,0.0031645569620253164
102,500,5,err_bin,0.022166805209199225
103,500,5,fnr_bin,0.0
104,500,5,fpr_bin,0.02812939521800281
105,500,5,err_ens,0.0005541701302299807
106,500,5,fnr_ens,0.0
107,500,5,fpr_ens,0.0007032348804500703
108,100,6,err_bin,0.023552230534774177
109,100,6,fnr_bin,0.0
110,100,6,fpr_bin,0.02988748241912799
111,100,6,err_ens,0.0016625103906899418
112,100,6,fnr_ens,0.0
113,100,6,fpr_ens,0.002109704641350211
114,200,6,err_bin,0.02493765586034913
115,200,6,fnr_bin,0.0
116,200,6,fpr_bin,0.03164556962025317
117,200,6,err_ens,0.002770850651149903
118,200,6,fnr_ens,0.0
119,200,6,fpr_ens,0.0035161744022503515
120,500,6,err_bin,0.03629814353006373
121,500,6,fnr_bin,0.00130718954248366
122,500,6,fpr_bin,0.04571026722925457
123,500,6,err_ens,0.004156275976724855
124,500,6,fnr_ens,0.00130718954248366
125,500,6,fpr_ens,0.004922644163150493
126,100,7,err_bin,0.030479357162648935
127,100,7,fnr_bin,0.00130718954248366
128,100,7,fpr_bin,0.038326300984528834
129,100,7,err_ens,0.0022166805209199226
130,100,7,fnr_ens,0.00130718954248366
131,100,7,fpr_ens,0.0024613220815752463
132,200,7,err_bin,0.029093931837073983
133,200,7,fnr_bin,0.0
134,200,7,fpr_bin,0.03691983122362869
135,200,7,err_ens,0.005264616237184816
136,200,7,fnr_ens,0.0
137,200,7,fpr_ens,0.006680731364275668
138,500,7,err_bin,0.03325020781379884
139,500,7,fnr_bin,0.0
140,500,7,fpr_bin,0.04219409282700422
141,500,7,err_ens,0.0022166805209199226
142,500,7,fnr_ens,0.0
143,500,7,fpr_ens,0.0028129395218002813
144,100,8,err_bin,0.029648101967303962
145,100,8,fnr_bin,0.00130718954248366
146,100,8,fpr_bin,0.03727144866385373
147,100,8,err_ens,0.0024937655860349127
148,100,8,fnr_ens,0.00130718954248366
149,100,8,fpr_ens,0.0028129395218002813
150,200,8,err_bin,0.02826267664172901
151,200,8,fnr_bin,0.0
152,200,8,fpr_bin,0.035864978902953586
153,200,8,err_ens,0.004433361041839845
154,200,8,fnr_ens,0.0
155,200,8,fpr_ens,0.005625879043600563
156,500,8,err_bin,0.021335550013854253
