mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2525490283966064,0.02302185135905251,0.024505043029785158,0.0037639787484998414,10,2,0.01,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9924012158054711,0.993920972644377,0.989345509893455,0.9832572298325722,0.9908675799086758,0.9899585016169101,0.003681772805909087,52
0.26944746971130373,0.053449193928656415,0.015191411972045899,0.004628583832422134,10,2,0.01,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9984802431610942,1.0,0.9969558599695586,1.0,0.9969558599695586,0.9984783926200423,0.0013613811226518091,27
0.23864684104919434,0.018425317289928668,0.025279712677001954,0.008440532026675827,10,2,0.01,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",0.9893617021276596,0.993920972644377,0.9878234398782344,0.9863013698630136,0.989345509893455,0.9893505988813478,0.002550234410429877,56
0.3943756580352783,0.006169139093500794,0.05242290496826172,0.006965764395522999,10,2,0.001,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9878419452887538,0.9878419452887538,0.9802130898021308,0.9771689497716894,0.9863013698630136,0.9838734600028683,0.004375871676911907,67
0.2722132682800293,0.04583717858034336,0.014728021621704102,0.0033096055642188147,10,2,0.001,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.9984802431610942,1.0,0.9969558599695586,1.0,0.9969558599695586,0.9984783926200423,0.0013613811226518091,27
0.9274221897125244,0.05241793292785783,0.09270811080932617,0.014476980878081825,10,2,0.001,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'poly'}",0.9194528875379939,0.9270516717325228,0.9330289193302892,0.9254185692541856,0.9223744292237442,0.9254652954157472,0.0045919425557942005,74
0.848055362701416,0.030583188266568587,0.11821870803833008,0.028532928249405384,10,2,0.0001,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'}",0.9179331306990881,0.9240121580547113,0.9269406392694064,0.9208523592085236,0.9223744292237442,0.9224225432910946,0.003018697891603202,76
0.26125531196594237,0.03171601534218463,0.014207744598388672,0.00283753893943622,10,2,0.0001,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'linear'}",0.9984802431610942,1.0,0.9969558599695586,1.0,0.9969558599695586,0.9984783926200423,0.0013613811226518091,27
3.8847914218902586,0.1250386265117613,0.6177767276763916,0.03159235505048105,10,2,0.0001,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'poly'}",0.31155015197568386,0.31155015197568386,0.3105022831050228,0.3105022831050228,0.3105022831050228,0.3109214306532872,0.0005133488100932072,86
2.1637434482574465,0.05136670795981221,0.34590730667114256,0.03308907449791621,10,2,1e-05,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'rbf'}",0.9133738601823708,0.9148936170212766,0.9223744292237442,0.9147640791476408,0.9101978691019786,0.9151207709354022,0.004002025640516914,80
0.2600125312805176,0.027780131740634116,0.015032768249511719,0.0030806746345034388,10,2,1e-05,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'linear'}",0.9984802431610942,1.0,0.9969558599695586,1.0,0.9969558599695586,0.9984783926200423,0.0013613811226518091,27
3.2686976909637453,0.2349605414486932,0.6327950477600097,0.06215532204092609,10,2,1e-05,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'poly'}",0.31155015197568386,0.31155015197568386,0.3105022831050228,0.3105022831050228,0.3105022831050228,0.3109214306532872,0.0005133488100932072,86
0.26537508964538575,0.04512323832004528,0.030341100692749024,0.005889345769688148,10,3,0.01,rbf,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9924012158054711,0.993920972644377,0.989345509893455,0.9832572298325722,0.9908675799086758,0.9899585016169101,0.003681772805909087,52
0.22437405586242676,0.031220354956425233,0.012268257141113282,0.001031392130960424,10,3,0.01,linear,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9984802431610942,1.0,0.9969558599695586,1.0,0.9969558599695586,0.9984783926200423,0.0013613811226518091,27
0.19478158950805663,0.01572487231978373,0.024797439575195312,0.007601110139979876,10,3,0.01,poly,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",0.9893617021276596,0.9954407294832827,0.9878234398782344,0.984779299847793,0.9908675799086758,0.9896545502491291,0.0035258503307163793,54
0.31093969345092776,0.05920976496233735,0.04210352897644043,0.002297970514054734,10,3,0.001,rbf,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9878419452887538,0.9878419452887538,0.9802130898021308,0.9771689497716894,0.9863013698630136,0.9838734600028683,0.004375871676911907,67
