mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.34559130668640137,0.029241448843550677,0.035159063339233396,0.003028977513643995,10,2,0.01,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.9984802431610942,1.0,0.9954337899543378,0.9984779299847792,0.9984783926200421,0.0016673444196105209,56
0.2642064571380615,0.0231167147802797,0.016975784301757814,0.0050339344823246285,10,2,0.01,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",1.0,1.0,0.9984779299847792,1.0,1.0,0.9996955859969558,0.0006088280060883022,22
0.2930446147918701,0.02369178346464481,0.02358212471008301,0.00842016633340957,10,2,0.01,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",1.0,0.9984802431610942,1.0,0.9984779299847792,1.0,0.9993916346291748,0.0007450927269190057,54
0.517530107498169,0.024212031959093393,0.04163656234741211,0.0033167041713974203,10,2,0.001,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9908814589665653,0.9908814589665653,0.9878234398782344,0.9817351598173516,0.984779299847793,0.9872201634953021,0.003555761300842647,71
0.21055474281311035,0.014914703394294767,0.01890454292297363,0.006490228725612741,10,2,0.001,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",1.0,1.0,0.9984779299847792,1.0,1.0,0.9996955859969558,0.0006088280060883022,22
0.919046688079834,0.04536210681195804,0.09408102035522461,0.004875604357787309,10,2,0.001,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'poly'}",0.9376899696048632,0.9650455927051672,0.9649923896499238,0.943683409436834,0.939117199391172,0.9501057121575922,0.012336589850740662,74
0.9510823249816894,0.02938787016361021,0.10683789253234863,0.009744334259824737,10,2,0.0001,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'}",0.9179331306990881,0.9300911854103343,0.928462709284627,0.928462709284627,0.9178082191780822,0.9245515907713517,0.0054874015524121545,76
0.2331075668334961,0.03326984145616552,0.01435384750366211,0.002242427233016176,10,2,0.0001,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'linear'}",1.0,1.0,0.9984779299847792,1.0,1.0,0.9996955859969558,0.0006088280060883022,22
5.807675075531006,0.1489794374126295,0.8905584812164307,0.07434042004962498,10,2,0.0001,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'poly'}",0.5972644376899696,0.5987841945288754,0.5981735159817352,0.5981735159817352,0.5981735159817352,0.5981138360328101,0.00048611586005359585,87
2.3796324729919434,0.04665281782604082,0.46855812072753905,0.01858058417194232,10,2,1e-05,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'rbf'}",0.9042553191489362,0.9148936170212766,0.9178082191780822,0.9101978691019786,0.9010654490106544,0.9096440946921855,0.006279317526396622,84
0.2161205768585205,0.02013957371751552,0.01514277458190918,0.005216290550713391,10,2,1e-05,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'linear'}",1.0,1.0,0.9984779299847792,1.0,1.0,0.9996955859969558,0.0006088280060883022,22
5.041800022125244,0.2619958703322466,0.9000327587127686,0.04176524786902626,10,2,1e-05,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'poly'}",0.31155015197568386,0.31155015197568386,0.3105022831050228,0.3105022831050228,0.3105022831050228,0.3109214306532872,0.0005133488100932072,89
0.3021854877471924,0.019268418943772653,0.02612919807434082,0.003921801001542592,10,3,0.01,rbf,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",1.0,0.9984802431610942,1.0,0.9954337899543378,0.9984779299847792,0.9984783926200421,0.0016673444196105209,56
0.22172145843505858,0.03666076465441371,0.013789892196655273,0.0032958411537651706,10,3,0.01,linear,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",1.0,1.0,0.9984779299847792,1.0,1.0,0.9996955859969558,0.0006088280060883022,22
0.2637237548828125,0.03913490127087098,0.021379756927490234,0.007030154700037589,10,3,0.01,poly,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",1.0,0.9984802431610942,1.0,1.0,1.0,0.9996960486322187,0.0006079027355623268,17
0.37862324714660645,0.06342059327895379,0.04737281799316406,0.008521334195255198,10,3,0.001,rbf,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9908814589665653,0.9908814589665653,0.9878234398782344,0.9817351598173516,0.984779299847793,0.9872201634953021,0.003555761300842647,71
0.2334578514099121,0.02791442718815836,0.018945884704589844,0.003433265061305891,10,3,0.001,linear,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",1.0,1.0,0.9984779299847792,1.0,1.0,0.9996955859969558,0.0006088280060883022,22
