mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dtc__criterion,param_dtc__max_depth,param_featuriser__windows,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05569348335266113,0.015573597037711395,0.0040610313415527345,0.002129949941110117,gini,3,1,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 1}",0.9103343465045592,0.9164133738601824,0.9041095890410958,0.8964992389649924,0.8995433789954338,0.9053799854732528,0.007222588086566976,36
0.08728065490722656,0.005049397142611107,0.0022370338439941405,0.003990516223908723,gini,3,2,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 2}",0.9224924012158054,0.925531914893617,0.9299847792998478,0.9101978691019786,0.923896499238965,0.9224206927500427,0.00661022954802767,32
0.09839310646057128,0.018122853024306624,0.012174367904663086,0.002965450980767112,gini,3,3,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 3}",0.9544072948328267,0.9604863221884499,0.9726027397260274,0.9604261796042618,0.9573820395738204,0.9610609151850772,0.0061927627059074125,27
0.14594216346740724,0.012998183087084041,0.008162450790405274,0.002851337239989606,gini,3,4,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 4}",0.9635258358662614,0.9726443768996961,0.9726027397260274,0.9680365296803652,0.9558599695585996,0.96653389034619,0.006315186147981927,25
0.15316267013549806,0.0066600193081634475,0.02322678565979004,0.005326825494263319,gini,3,5,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 5}",0.9741641337386018,0.9832826747720365,0.9832572298325722,0.9771689497716894,0.9649923896499238,0.9765730755529647,0.006781843301766568,23
0.21883959770202638,0.00962517755384248,0.02206001281738281,0.0034710014799138947,gini,3,6,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 6}",0.9787234042553191,0.9848024316109423,0.9878234398782344,0.9802130898021308,0.9863013698630136,0.9835727470819279,0.0035165130017847162,19
0.058433008193969724,0.005499404572832338,0.00822296142578125,0.002463744356038756,gini,4,1,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 1}",0.9300911854103343,0.9240121580547113,0.9101978691019786,0.928462709284627,0.91324200913242,0.9212011861968143,0.008050898744724031,33
0.10052213668823243,0.010317876321946003,0.008108901977539062,0.0019210753114563648,gini,4,2,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 2}",0.9407294832826748,0.9559270516717325,0.943683409436834,0.9558599695585996,0.954337899543379,0.9501075626986439,0.006543248506265597,29
0.12655072212219237,0.011829581264286007,0.013263702392578125,0.0026372888793973013,gini,4,3,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 3}",0.9726443768996961,0.9817629179331308,0.9756468797564688,0.984779299847793,0.9756468797564688,0.9780960708387114,0.0044683186618917695,22
0.14708242416381836,0.010863105430774915,0.015819263458251954,0.0014806097936653927,gini,4,4,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 4}",0.9756838905775076,0.9848024316109423,0.9878234398782344,0.9908675799086758,0.9878234398782344,0.985400156370719,0.0052230340207924456,17
0.1776479721069336,0.005448825122528081,0.016593122482299806,0.001044309090739543,gini,4,5,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 5}",0.986322188449848,0.9924012158054711,0.9908675799086758,0.9969558599695586,0.9817351598173516,0.989656400790181,0.00521816249491524,11
0.2152576446533203,0.01778078371164726,0.02031989097595215,0.0009094201153280968,gini,4,6,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 6}",0.986322188449848,0.9924012158054711,0.9969558599695586,0.989345509893455,0.9923896499238964,0.9914828848084458,0.0035445781227596037,9
0.059096670150756835,0.004775235144488136,0.007351875305175781,0.0011083609716058495,gini,5,1,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 1}",0.9513677811550152,0.9331306990881459,0.9375951293759512,0.9375951293759512,0.939117199391172,0.9397611876772471,0.006139620983907668,31
0.0992889404296875,0.007045024736884744,0.009304952621459962,0.0012648615336956052,gini,5,2,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 2}",0.9635258358662614,0.9696048632218845,0.9649923896499238,0.954337899543379,0.9619482496194824,0.9628818475801862,0.004978728778858054,26
0.1297996997833252,0.014012367823346953,0.016725540161132812,0.007555196959134765,gini,5,3,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 3}",0.9817629179331308,0.9878419452887538,0.9863013698630136,0.984779299847793,0.9878234398782344,0.9857017945621852,0.0022718653180988525,16
0.15570287704467772,0.012426952620235368,0.012593269348144531,0.004512146200825827,gini,5,4,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 4}",0.9893617021276596,0.986322188449848,0.9878234398782344,0.9923896499238964,0.9817351598173516,0.9875264280393979,0.003524098600154149,13
0.17346882820129395,0.007441977709992331,0.021195459365844726,0.006405193360861014,gini,5,5,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 5}",0.9893617021276596,0.9984802431610942,0.9969558599695586,0.9984779299847792,0.9954337899543378,0.995741905039486,0.0033840785701144955,4
