,target,euclidean_10,euclidean_50,euclidean_100,euclidean_200,dtw_10,dtw_50,dtw_100,dtw_200
695,1.0,9.26064515922236,9.41431807213816,9.467857857468786,9.467857857468786,7.3414778830617236,7.296023483248306,7.286820513486257,7.227591675679959
696,1.0,16.94910065667312,16.923783830631955,16.912213647117255,16.9087336904755,8.69088485415403,8.675672498279406,8.673161826617667,8.668839903589063
697,1.0,17.347514585887453,17.217305565874852,17.217305565874852,17.217305565874852,9.227832043076754,9.166355178451266,9.166355178451266,9.155920484541463
698,1.0,9.656583703202907,9.274758378398605,9.072833603565261,9.072833603565261,7.655034929764705,7.583866169535707,7.558790662999215,7.5619740813653
699,1.0,10.754091098550871,8.715478796248735,8.715478796248735,8.715478796248735,7.893774338972509,7.715720891750695,7.715720891750695,7.715720891750695
700,1.0,8.900590360090163,8.57456193535389,8.596330015504897,8.436286503574705,7.672477963460901,7.540506172137355,7.469635187875305,7.433677717124696
701,1.0,9.797796265978661,9.598526359621319,9.598188830023073,9.560894385875216,8.360732543593763,7.972635712529805,7.972635712529805,7.972635712529805
702,1.0,17.09137180752493,16.978154982407062,16.978154982407062,16.978154982407062,8.89111509145274,8.89546560757591,8.90031621397625,8.854115829866439
703,1.0,16.020105308453882,15.865561617617134,15.952168760621891,15.952168760621891,9.003549878601238,8.722207151151911,8.722207151151911,8.722207151151911
704,1.0,9.535788895750809,9.263914776683128,9.356115196148108,9.215381441382494,8.057710077365964,8.046028753946567,8.03365705135122,8.00112399291902
705,1.0,9.494007490808631,9.492424890232689,9.460594424797984,9.39586982724432,7.844009250256026,7.8053133714194285,7.811400385481695,7.775087220030421
706,1.0,17.100525045317763,17.11362139225459,17.11362139225459,16.974186236725803,8.806678607119329,8.702146154824275,8.702146154824275,8.665131972958111
707,1.0,11.435571966622286,9.33745071218388,9.33745071218388,9.33745071218388,7.8930321276803905,7.827599948386937,7.827599948386937,7.798923880657294
708,1.0,10.037221424938355,9.5969513159712,9.5969513159712,9.5969513159712,3.1250301639315223,3.0894247025921646,3.127121373810238,3.127121373810238
709,1.0,10.178515189112215,10.064317304400216,10.087927817695917,9.998723901488013,7.852882296547046,7.734890472692199,7.706910540989818,7.7034235738789825
710,1.0,8.40170286735962,8.265084768167046,8.336188639374523,8.288204331114255,7.552258392666155,7.165284901680913,7.165284901680913,7.165284901680913
711,1.0,9.97855352020755,9.77564504675269,9.755473095057447,9.755473095057447,7.892433632907475,7.887837711762486,7.85369282787277,7.85369282787277
712,1.0,10.45285305616166,10.507108872595305,10.381766288392358,10.381766288392358,8.10253838499816,8.033660302512327,8.021828964948641,8.031293600796952
713,1.0,8.427267761230812,8.248806506346696,8.297318468502938,8.207407329932467,7.332743731590621,7.256205512568604,7.200964284913982,7.147907882644515
714,1.0,17.318401477360073,17.103531374998862,17.103531374998862,16.90761191265796,9.324929381157865,9.271728237736951,9.271728237736951,9.271728237736951
715,1.0,8.48816510204366,8.621220228764578,8.621220228764578,8.618014610899301,7.03180080665681,6.9825996983882295,6.975521767874376,6.95607283732083
716,1.0,14.308869527535022,12.563286298466755,12.563286298466755,12.563286298466755,7.851047726111071,7.83979982561692,7.809603382240124,7.790874664219791
717,1.0,9.628464130649565,9.626049295319964,9.61836035588914,9.384410288989201,7.820857624656635,7.781426170818156,7.799057338960215,7.747521285789539
718,1.0,14.373653572886989,13.28731406696736,13.28731406696736,13.28731406696736,8.28829214718183,8.114367125271464,8.114367125271464,8.114367125271464
719,1.0,10.821084586114562,10.809213801406765,10.724113112011183,10.746553724348484,7.566812702206563,7.406689639846906,7.406689639846906,7.406689639846906
720,1.0,10.442820498027487,10.461456413069076,10.38561226537451,10.409074815370035,3.755739396470949,3.575632888228061,3.1256655652433842,3.1256655652433842
721,1.0,10.442820498027487,10.461456413069076,10.38561226537451,10.409074815370035,3.755739396470949,3.575632888228061,3.1256655652433842,3.1256655652433842
722,1.0,9.199911744616944,9.20033839840978,9.206426521491986,8.976086613627393,7.69159146807994,7.521140579101529,7.553120662108222,7.5077289736419575
723,1.0,8.834521832481473,8.934888243511232,8.751962837574206,8.751962837574206,7.021892008784369,7.030231386878189,6.9732748186656766,6.937721983354071
724,1.0,10.70414625016981,10.878557018479354,10.729659380361714,10.729659380361714,7.372333839578618,7.16109298973101,7.2327658122820875,7.14285312601509
725,1.0,10.79875382119351,10.318986560412482,10.318986560412482,10.318986560412482,7.786734498463669,7.399657045676577,7.399657045676577,7.399657045676577
726,1.0,9.759420890520538,9.59288120975565,9.620014382171187,9.57168660159088,8.162831291941849,7.911547803522247,7.911547803522247,7.911547803522247
727,1.0,10.154617011254942,10.115799292141359,10.081179607288938,9.990802808600419,7.756955305318893,7.7135907110880035,7.73230900773368,7.63742404996621
728,1.0,9.31668307586684,9.325646255871337,9.320751117072465,9.208437010476661,8.018408406072025,7.979159302004114,7.991981382988319,7.957136452035366
729,1.0,9.056226179808034,9.002532002400331,9.024162239063589,8.9430332852091,7.606122425192884,7.541535882681513,7.466699423681291,7.466699423681291
730,1.0,8.949049613896387,8.865210068536497,8.725220108897418,8.768946847159718,7.867216654582635,7.639537061978403,7.639537061978403,7.639537061978403
731,1.0,9.159365624287782,9.02768470971854,9.098502876576948,8.980267082959557,7.368828084969306,7.3076035589288475,7.236929101864611,7.236929101864611
732,1.0,9.96357156035487,9.80059431875369,9.769301409064864,9.683076695315988,7.381797087330841,7.292853702781117,7.259107110183481,7.296297907528988
733,1.0,9.199911744616944,9.20033839840978,9.206426521491986,8.976086613627393,7.69159146807994,7.521140579101529,7.553120662108222,7.5077289736419575
734,1.0,12.13739567033833,11.295537844845308,11.295537844845308,11.295537844845308,7.85623150410785,7.742209122082823,7.7629822301914775,7.7129609643519
735,1.0,10.815542978788814,10.619613402610367,10.604720844202557,10.368563294280662,7.504757784106216,7.4105874648448555,7.416788402276675,7.311045396360394
736,1.0,14.17634752672268,13.070493118387349,13.070493118387349,13.070493118387349,7.911883509245938,7.843229941317959,7.842232745719423,7.7792914188535045
737,1.0,15.916158967848652,14.064405367968114,14.064405367968114,14.064405367968114,8.249492836212427,8.046857396796932,8.046857396796932,8.046857396796932
738,1.0,16.656423720373216,16.733410206451236,16.72002329921415,16.711998964488767,9.553382197713256,9.313455081777578,9.313455081777578,9.313455081777578
