,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cnn__batch_size,param_cnn__epochs,param_cnn__len_filter,param_cnn__num_filter,param_cnn__num_layer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,19.376227569580077,3.8746170270028992,3.7566083908081054,1.261892968001105,20,20,0.05,4,1,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.05, 'cnn__num_filter': 4, 'cnn__num_layer': 1}",0.9933920502662659,0.9933920502662659,0.984581470489502,0.9911699891090393,0.9889624714851379,0.9902996063232422,0.0032975443064097217,68
1,27.965439987182616,3.2283014571546924,2.8002049922943115,1.8792264727140997,20,20,0.05,4,2,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.05, 'cnn__num_filter': 4, 'cnn__num_layer': 2}",0.9889867901802063,0.9911894202232361,0.9867841601371765,0.9823399782180786,0.9889624714851379,0.9876525640487671,0.0029994353476163515,106
2,35.59272127151489,3.0426608052991524,4.618219947814941,3.7409010719204407,20,20,0.05,4,3,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.05, 'cnn__num_filter': 4, 'cnn__num_layer': 3}",0.984581470489502,0.9955947399139404,0.984581470489502,0.9911699891090393,0.9889624714851379,0.9889780282974243,0.004177205954870069,84
3,25.807363033294678,1.2957857729668123,2.388460969924927,1.647975092457745,20,20,0.05,8,1,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.05, 'cnn__num_filter': 8, 'cnn__num_layer': 1}",0.9867841601371765,0.9911894202232361,0.9823788404464722,0.9933775067329407,0.9911699891090393,0.988979983329773,0.0039347852708812685,80
4,36.938465642929074,4.409399884284646,8.235815048217773,3.083266330601334,20,20,0.05,8,2,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.05, 'cnn__num_filter': 8, 'cnn__num_layer': 2}",0.9889867901802063,0.9889867901802063,0.9867841601371765,0.9955849647521973,0.9911699891090393,0.9903025388717651,0.0029832154214903487,63
5,40.05152173042298,2.5054947745176808,3.0222066402435304,2.1428578928730655,20,20,0.05,8,3,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.05, 'cnn__num_filter': 8, 'cnn__num_layer': 3}",0.9889867901802063,0.9933920502662659,0.984581470489502,0.9867549538612366,0.9911699891090393,0.98897705078125,0.0031164125093192264,88
6,30.630045795440672,4.036866317244834,4.888609075546265,2.142264484151442,20,20,0.1,4,1,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.1, 'cnn__num_filter': 4, 'cnn__num_layer': 1}",0.984581470489502,0.9933920502662659,0.984581470489502,0.9911699891090393,0.9955849647521973,0.9898619890213013,0.004531939976842154,69
7,35.84525012969971,2.0407480766063526,3.137605142593384,1.5779124866098186,20,20,0.1,4,2,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.1, 'cnn__num_filter': 4, 'cnn__num_layer': 2}",0.984581470489502,0.9933920502662659,0.984581470489502,0.9845474362373352,0.9933775067329407,0.9880959868431092,0.0043183006363630575,101
8,51.65187668800354,4.964346452438272,7.471213531494141,3.909796259056929,20,20,0.1,4,3,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.1, 'cnn__num_filter': 4, 'cnn__num_layer': 3}",0.9823788404464722,0.9911894202232361,0.9867841601371765,0.9867549538612366,0.9911699891090393,0.9876554727554321,0.003294042452260294,104
9,36.79325947761536,3.9737951419062845,4.13861870765686,1.6281724694816582,20,20,0.1,8,1,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.1, 'cnn__num_filter': 8, 'cnn__num_layer': 1}",0.9889867901802063,0.9911894202232361,0.9757709503173828,0.9867549538612366,0.9955849647521973,0.9876574158668519,0.006621039542222333,103
10,48.38323798179626,5.741370392140295,10.913397216796875,2.582531889183091,20,20,0.1,8,2,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.1, 'cnn__num_filter': 8, 'cnn__num_layer': 2}",0.9823788404464722,0.9933920502662659,0.984581470489502,0.9911699891090393,0.9911699891090393,0.9885384678840637,0.004266284294472566,94
11,56.91446328163147,5.571346868279326,5.197486877441406,3.1168998881093875,20,20,0.1,8,3,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.1, 'cnn__num_filter': 8, 'cnn__num_layer': 3}",0.984581470489502,0.984581470489502,0.984581470489502,0.9933775067329407,0.9845474362373352,0.9863338708877564,0.0035218425900996005,108
12,51.052440595626834,7.6121642104588565,4.931880044937134,1.8666640524463647,20,20,0.2,4,1,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.2, 'cnn__num_filter': 4, 'cnn__num_layer': 1}",0.9955947399139404,0.9889867901802063,0.984581470489502,0.9933775067329407,0.9911699891090393,0.9907420992851257,0.003787110782670935,54
13,57.67254867553711,4.467573384611085,6.869907331466675,1.4449594448338547,20,20,0.2,4,2,"{'cnn__batch_size': 20, 'cnn__epochs': 20, 'cnn__len_filter': 0.2, 'cnn__num_filter': 4, 'cnn__num_layer': 2}",0.9889867901802063,0.9955947399139404,0.9889867901802063,0.9933775067329407,0.9933775067329407,0.9920646667480468,0.002640271294475544,25
