,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dtc__criterion,param_dtc__max_depth,param_featuriser__windows,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9265984535217285,0.013030197660587125,0.22560153007507325,0.011285196082290935,gini,3,1,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 1}",0.8259911894273128,0.8458149779735683,0.8348017621145375,0.8432671081677704,0.8344370860927153,0.8368624247551809,0.0070637176393686645,34
1,0.9483980655670166,0.030697990112335746,0.21560359001159668,0.005539043335001389,gini,3,2,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 2}",0.9515418502202643,0.9625550660792952,0.947136563876652,0.9514348785871964,0.9536423841059603,0.9532621485738737,0.00510537020665318,29
2,0.9570009231567382,0.027137651954452904,0.23200149536132814,0.018167835514891,gini,3,3,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 3}",0.76431718061674,0.7731277533039648,0.7709251101321586,0.7726269315673289,0.7571743929359823,0.7676342737112349,0.006104863098924958,36
3,0.959195327758789,0.04400902915434968,0.23020620346069337,0.00444253096003256,gini,3,4,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 4}",0.9625550660792952,0.9713656387665198,0.9581497797356828,0.9668874172185431,0.9624724061810155,0.9642860615962114,0.004490592622376125,27
4,0.9953673362731934,0.02412707667344531,0.23600220680236816,0.014327687352467294,gini,3,5,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 5}",0.8259911894273128,0.8458149779735683,0.8281938325991189,0.8300220750551877,0.8300220750551877,0.8320088300220749,0.007060740974151619,35
5,1.0177920818328858,0.03525763282842151,0.2310029983520508,0.008321868695580145,gini,3,6,"{'dtc__criterion': 'gini', 'dtc__max_depth': 3, 'featuriser__windows': 6}",0.9030837004405287,0.9273127753303965,0.9162995594713657,0.9139072847682119,0.9337748344370861,0.9188756308895177,0.010713331387634261,32
6,0.9313952922821045,0.025528277562929375,0.22840065956115724,0.018745897565052766,gini,4,1,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 1}",0.986784140969163,0.9933920704845814,0.9933920704845814,0.9933774834437086,0.9889624724061811,0.9911816475576429,0.0027877028829842933,6
7,0.9851967811584472,0.06573105114970641,0.24460129737854003,0.02745640734026533,gini,4,2,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 2}",0.9779735682819384,0.986784140969163,0.973568281938326,0.9867549668874173,0.9735099337748344,0.9797181783703358,0.005980826222600209,17
8,1.0139987468719482,0.07228955248595771,0.2420015811920166,0.025792865388245684,gini,4,3,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 3}",0.9251101321585903,0.9493392070484582,0.9295154185022027,0.9403973509933775,0.9426048565121413,0.9373933930429539,0.008852418516210731,30
9,1.048999261856079,0.07906972599325333,0.237198543548584,0.008472824467011541,gini,4,4,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 4}",0.9713656387665198,0.9801762114537445,0.9691629955947136,0.9735099337748344,0.977924944812362,0.9744279448804349,0.004079503186131139,23
10,1.1505940914154054,0.08684168775306277,0.27240591049194335,0.01842435555479042,gini,4,5,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 5}",0.9801762114537445,0.9911894273127754,0.986784140969163,0.9801324503311258,0.9889624724061811,0.985448940494598,0.004541973027379533,14
11,1.1545998096466064,0.09127536257050063,0.24379363059997558,0.01821189519448675,gini,4,6,"{'dtc__criterion': 'gini', 'dtc__max_depth': 4, 'featuriser__windows': 6}",0.9691629955947136,0.9779735682819384,0.973568281938326,0.9823399558498896,0.9735099337748344,0.9753109470879403,0.004484960515746403,20
12,1.0017998218536377,0.07552375898747601,0.22699542045593263,0.011263913724342163,gini,5,1,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 1}",0.986784140969163,0.9911894273127754,0.9889867841409692,0.9955849889624724,0.9889624724061811,0.9903015627583122,0.0029865350407605527,7
13,1.0157974720001222,0.036406078443277416,0.22500696182250976,0.0044220948086121205,gini,5,2,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 2}",0.9823788546255506,0.9889867841409692,0.986784140969163,0.9889624724061811,0.9889624724061811,0.987214944909609,0.002562049189028402,12
14,1.0076014518737793,0.02555638215496304,0.23979673385620118,0.018822801010960875,gini,5,3,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 3}",0.973568281938326,0.9933920704845814,0.9713656387665198,0.9845474613686535,0.9735099337748344,0.9792766772665831,0.008431501985081045,18
15,1.0567955017089843,0.01398645683137387,0.23800249099731446,0.010297866646187604,gini,5,4,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 4}",0.9845814977973568,0.9823788546255506,0.9889867841409692,0.9801324503311258,0.9845474613686535,0.9841254096527312,0.002933028624764408,15
16,1.1264007091522217,0.039470169713142204,0.2368010997772217,0.011654509527464805,gini,5,5,"{'dtc__criterion': 'gini', 'dtc__max_depth': 5, 'featuriser__windows': 5}",0.9933920704845814,0.9955947136563876,0.9977973568281938,0.9977924944812362,0.9933774834437086,0.9955908237788217,0.0019722854052575786,3
