,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.1550368785858156,0.26239448864994935,0.6424095630645752,0.05964952045363883,10,2,0.01,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9911894273127754,0.9933920704845814,0.9801762114537445,1.0,0.9889624724061811,0.9907440363314564,0.0064457150743976585,7
1,2.0188232898712157,0.06379618078557459,0.2752060413360596,0.014218568840978659,10,2,0.01,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9933920704845814,0.9933920704845814,0.9779735682819384,0.9845474613686535,0.9889624724061811,0.9876535286051871,0.005846782794235193,36
2,2.058129167556763,0.17374223402011035,0.3144057273864746,0.02133277807934209,10,2,0.01,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",0.9911894273127754,0.9933920704845814,0.9823788546255506,0.9933774834437086,0.9889624724061811,0.9898600616545593,0.004083838403783226,25
3,2.4687546730041503,0.06199846730750815,0.4358070850372314,0.02732766734593116,10,2,0.001,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9823788546255506,0.9933920704845814,0.9801762114537445,0.9889624724061811,0.977924944812362,0.984566910756484,0.0057512772154503095,68
4,1.8633471965789794,0.08526649422674495,0.31040658950805666,0.020009611687272184,10,2,0.001,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.9933920704845814,0.9933920704845814,0.9779735682819384,0.9845474613686535,0.9889624724061811,0.9876535286051871,0.005846782794235193,36
5,2.2356253623962403,0.19021605228348037,0.41800527572631835,0.06302687021873286,10,2,0.001,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'poly'}",0.9823788546255506,0.9933920704845814,0.9779735682819384,0.9845474613686535,0.9757174392935982,0.9828018788108646,0.006146218893775654,76
6,4.338652420043945,0.16583277327682566,1.2416123390197753,0.06750928706718388,10,2,0.0001,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'}",0.9823788546255506,0.9911894273127754,0.9713656387665198,0.9735099337748344,0.977924944812362,0.9792737598584085,0.007059803350662061,78
7,2.0144208431243897,0.09775658569638339,0.301609468460083,0.016750362605968322,10,2,0.0001,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'linear'}",0.9933920704845814,0.9933920704845814,0.9779735682819384,0.9845474613686535,0.9889624724061811,0.9876535286051871,0.005846782794235193,36
8,12.246551513671875,0.1492367564213977,2.57163405418396,0.07536973715292769,10,2,0.0001,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 0.0001, 'svc__kernel': 'poly'}",0.7290748898678414,0.8193832599118943,0.7841409691629956,0.7637969094922737,0.7549668874172185,0.7702725831704447,0.030257690941555296,87
9,10.832734155654908,0.09207786717196706,2.523638439178467,0.14919843043629002,10,2,1e-05,rbf,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'rbf'}",0.8480176211453745,0.9008810572687225,0.8722466960352423,0.8653421633554084,0.869757174392936,0.8712489424395369,0.017063806384356006,85
10,2.1040216445922852,0.05897479835214139,0.2844077110290527,0.029997935177647404,10,2,1e-05,linear,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'linear'}",0.9933920704845814,0.9933920704845814,0.9779735682819384,0.9845474613686535,0.9889624724061811,0.9876535286051871,0.005846782794235193,36
11,17.783702993392943,0.17004609739264198,2.9252531051635744,0.20384905124188,10,2,1e-05,poly,"{'svc__C': 10, 'svc__degree': 2, 'svc__gamma': 1e-05, 'svc__kernel': 'poly'}",0.2511013215859031,0.2511013215859031,0.2533039647577093,0.25165562913907286,0.25165562913907286,0.2517635732415322,0.0008091062219991648,91
12,4.082449102401734,0.1748856801741898,0.6774089336395264,0.046509357529281085,10,3,0.01,rbf,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9911894273127754,0.9933920704845814,0.9801762114537445,1.0,0.9889624724061811,0.9907440363314564,0.0064457150743976585,7
13,2.1452194690704345,0.21468819979504958,0.2838066577911377,0.021903759718207638,10,3,0.01,linear,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.9933920704845814,0.9933920704845814,0.9779735682819384,0.9845474613686535,0.9889624724061811,0.9876535286051871,0.005846782794235193,36
14,2.3792254447937013,0.06524996022128181,0.3366072177886963,0.025746710175461374,10,3,0.01,poly,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",0.9933920704845814,0.9933920704845814,0.9845814977973568,0.9933774834437086,0.9889624724061811,0.9907411189232818,0.0035244864049394503,9
15,2.6448312282562254,0.16078208652261955,0.43203935623168943,0.03310631842918665,10,3,0.001,rbf,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.9823788546255506,0.9933920704845814,0.9801762114537445,0.9889624724061811,0.977924944812362,0.984566910756484,0.0057512772154503095,68
16,2.116068410873413,0.13880228444207762,0.29140706062316896,0.029206829075694097,10,3,0.001,linear,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.9933920704845814,0.9933920704845814,0.9779735682819384,0.9845474613686535,0.9889624724061811,0.9876535286051871,0.005846782794235193,36
17,2.901062345504761,0.016176014030072152,0.502009916305542,0.03414830858407899,10,3,0.001,poly,"{'svc__C': 10, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'poly'}",0.9823788546255506,0.9933920704845814,0.9779735682819384,0.9867549668874173,0.9757174392935982,0.9832433799146172,0.0063322233726058105,74
