,Sample Number,Time,Type
315,12,0.005625,batch
316,12,0.004375,batch
317,12,0.0053125,batch
318,12,0.00546875,batch
319,12,0.0046875,batch
320,13,0.005625,batch
321,13,0.00546875,batch
322,13,0.00515625,batch
323,13,0.00453125,batch
324,13,0.004375,batch
325,13,0.0059375,batch
326,13,0.00546875,batch
327,13,0.00546875,batch
328,13,0.0059375,batch
329,13,0.00625,batch
330,14,0.0065625,batch
331,14,0.00578125,batch
332,14,0.005625,batch
333,14,0.005625,batch
334,14,0.00625,batch
335,14,0.00625,batch
336,14,0.0059375,batch
337,14,0.00515625,batch
338,14,0.00546875,batch
339,14,0.00609375,batch
340,15,0.00671875,batch
341,15,0.00609375,batch
342,15,0.00640625,batch
343,15,0.00421875,batch
344,15,0.005625,batch
345,15,0.00625,batch
346,15,0.0065625,batch
347,15,0.00625,batch
348,15,0.0065625,batch
349,15,0.00703125,batch
350,16,0.00671875,batch
351,16,0.00671875,batch
352,16,0.0065625,batch
353,16,0.00703125,batch
354,16,0.0071875,batch
355,16,0.00671875,batch
356,16,0.00671875,batch
357,16,0.0071875,batch
358,16,0.00625,batch
359,16,0.0071875,batch
360,17,0.00703125,batch
361,17,0.00640625,batch
362,17,0.0071875,batch
363,17,0.00734375,batch
364,17,0.006875,batch
365,17,0.006875,batch
366,17,0.00671875,batch
367,17,0.0065625,batch
368,17,0.00671875,batch
369,17,0.006875,batch
370,18,0.00671875,batch
371,18,0.00734375,batch
372,18,0.00703125,batch
373,18,0.00703125,batch
374,18,0.0075,batch
375,18,0.00671875,batch
376,18,0.0075,batch
377,18,0.0071875,batch
378,18,0.006875,batch
379,18,0.006875,batch
380,19,0.00671875,batch
381,19,0.00765625,batch
382,19,0.00703125,batch
383,19,0.00765625,batch
384,19,0.00828125,batch
385,19,0.0071875,batch
386,19,0.00703125,batch
387,19,0.00734375,batch
388,19,0.0075,batch
389,19,0.0075,batch
390,20,0.00796875,batch
391,20,0.00765625,batch
392,20,0.00828125,batch
393,20,0.00859375,batch
394,20,0.0084375,batch
395,20,0.00765625,batch
396,20,0.0071875,batch
397,20,0.00796875,batch
398,20,0.0078125,batch
399,20,0.00765625,batch
