,Sample Number,Time,Type
0,1,0.0034375,single
1,1,0.003125,single
2,1,0.00328125,single
3,1,0.00296875,single
4,1,0.0034375,single
5,1,0.003125,single
6,1,0.00265625,single
7,1,0.00328125,single
8,1,0.003125,single
9,1,0.0028125,single
10,2,0.00640625,single
11,2,0.00625,single
12,2,0.00796875,single
13,2,0.00703125,single
14,2,0.0075,single
15,2,0.0075,single
16,2,0.0071875,single
17,2,0.00734375,single
18,2,0.0075,single
19,2,0.006875,single
20,3,0.0109375,single
21,3,0.01,single
22,3,0.0109375,single
23,3,0.01,single
24,3,0.0103125,single
25,3,0.0109375,single
26,3,0.01,single
27,3,0.0096875,single
28,3,0.009375,single
29,3,0.00921875,single
30,4,0.01328125,single
31,4,0.013125,single
32,4,0.01296875,single
33,4,0.01296875,single
34,4,0.0128125,single
35,4,0.01234375,single
36,4,0.01265625,single
37,4,0.0125,single
38,4,0.0128125,single
39,4,0.0134375,single
40,5,0.01578125,single
41,5,0.015625,single
42,5,0.0165625,single
43,5,0.01640625,single
44,5,0.0153125,single
45,5,0.01546875,single
46,5,0.01625,single
47,5,0.01625,single
48,5,0.0153125,single
49,5,0.015625,single
50,6,0.01859375,single
51,6,0.019375,single
52,6,0.01765625,single
53,6,0.019375,single
54,6,0.01953125,single
55,6,0.01875,single
56,6,0.01984375,single
57,6,0.01875,single
58,6,0.02078125,single
59,6,0.0190625,single
60,7,0.0228125,single
61,7,0.02234375,single
62,7,0.02171875,single
63,7,0.0221875,single
64,7,0.0209375,single
65,7,0.02328125,single
66,7,0.021875,single
67,7,0.02328125,single
68,7,0.02171875,single
69,7,0.02296875,single
70,8,0.025625,single
71,8,0.02453125,single
72,8,0.024375,single
73,8,0.025,single
74,8,0.025625,single
75,8,0.0253125,single
76,8,0.02453125,single
77,8,0.02734375,single
78,8,0.02453125,single
79,8,0.02546875,single
80,9,0.02703125,single
81,9,0.02875,single
82,9,0.0290625,single
83,9,0.02734375,single
84,9,0.02875,single
85,9,0.02921875,single
86,9,0.02953125,single
87,9,0.0271875,single
88,9,0.028125,single
89,9,0.02921875,single
90,10,0.03265625,single
91,10,0.03265625,single
92,10,0.03359375,single
93,10,0.03109375,single
94,10,0.03171875,single
95,10,0.03109375,single
96,10,0.0334375,single
97,10,0.033125,single
98,10,0.03046875,single
99,10,0.03125,single
100,11,0.0346875,single
101,11,0.0359375,single
102,11,0.03546875,single
103,11,0.0346875,single
104,11,0.0334375,single
105,11,0.03484375,single
106,11,0.035,single
107,11,0.0359375,single
108,11,0.03578125,single
109,11,0.035,single
110,12,0.03671875,single
111,12,0.038125,single
112,12,0.03828125,single
113,12,0.0384375,single
114,12,0.0371875,single
115,12,0.0375,single
116,12,0.03703125,single
117,12,0.0371875,single
118,12,0.0390625,single
119,12,0.03796875,single
120,13,0.04171875,single
121,13,0.04078125,single
122,13,0.0409375,single
123,13,0.04296875,single
124,13,0.0446875,single
125,13,0.04015625,single
126,13,0.04046875,single
127,13,0.04171875,single
128,13,0.0421875,single
129,13,0.04203125,single
130,14,0.044375,single
131,14,0.04578125,single
132,14,0.0446875,single
133,14,0.045625,single
134,14,0.04390625,single
135,14,0.0428125,single
136,14,0.0425,single
137,14,0.0434375,single
138,14,0.04359375,single
139,14,0.04296875,single
140,15,0.04828125,single
141,15,0.04640625,single
142,15,0.04765625,single
143,15,0.0496875,single
144,15,0.04921875,single
145,15,0.048125,single
146,15,0.046875,single
147,15,0.0484375,single
148,15,0.0478125,single
149,15,0.04671875,single
150,16,0.0509375,single
151,16,0.0515625,single
152,16,0.05046875,single
153,16,0.05046875,single
154,16,0.05125,single
155,16,0.04953125,single
156,16,0.04921875,single
157,16,0.05078125,single
158,16,0.051875,single
159,16,0.04921875,single
160,17,0.055,single
161,17,0.0546875,single
162,17,0.05421875,single
163,17,0.0540625,single
164,17,0.050625,single
165,17,0.05359375,single
166,17,0.05265625,single
167,17,0.0525,single
168,17,0.0546875,single
169,17,0.05296875,single
170,18,0.0565625,single
171,18,0.05640625,single
172,18,0.05609375,single
173,18,0.05609375,single
174,18,0.055625,single
175,18,0.05625,single
176,18,0.05921875,single
177,18,0.0578125,single
178,18,0.05671875,single
179,18,0.05796875,single
180,19,0.0578125,single
181,19,0.06125,single
182,19,0.0615625,single
183,19,0.0603125,single
184,19,0.060625,single
185,19,0.06046875,single
186,19,0.05984375,single
187,19,0.05921875,single
188,19,0.05984375,single
189,19,0.086875,single
190,20,0.07796875,single
191,20,0.06296875,single
192,20,0.06328125,single
193,20,0.06078125,single
194,20,0.0590625,single
195,20,0.060625,single
196,20,0.06203125,single
197,20,0.06203125,single
198,20,0.05984375,single
199,20,0.059375,single
200,1,0.003125,batch
201,1,0.00296875,batch
202,1,0.0028125,batch
203,1,0.00265625,batch
204,1,0.003125,batch
205,1,0.003125,batch
206,1,0.00328125,batch
207,1,0.0028125,batch
208,1,0.00328125,batch
209,1,0.00375,batch
210,2,0.00328125,batch
211,2,0.003125,batch
212,2,0.0034375,batch
213,2,0.00375,batch
214,2,0.00265625,batch
215,2,0.00375,batch
216,2,0.0034375,batch
217,2,0.00359375,batch
218,2,0.0034375,batch
219,2,0.00234375,batch
220,3,0.00359375,batch
221,3,0.00359375,batch
222,3,0.00359375,batch
223,3,0.00359375,batch
224,3,0.0034375,batch
225,3,0.003125,batch
226,3,0.0034375,batch
227,3,0.00328125,batch
228,3,0.00359375,batch
229,3,0.00375,batch
230,4,0.00421875,batch
231,4,0.00359375,batch
232,4,0.00375,batch
233,4,0.00375,batch
234,4,0.00359375,batch
235,4,0.00421875,batch
236,4,0.00375,batch
237,4,0.00421875,batch
238,4,0.00390625,batch
239,4,0.00328125,batch
240,5,0.00375,batch
241,5,0.004375,batch
242,5,0.00375,batch
243,5,0.0040625,batch
244,5,0.0040625,batch
245,5,0.0028125,batch
246,5,0.00359375,batch
247,5,0.00390625,batch
248,5,0.00421875,batch
249,5,0.00421875,batch
250,6,0.00453125,batch
251,6,0.004375,batch
252,6,0.0040625,batch
253,6,0.0046875,batch
254,6,0.004375,batch
255,6,0.00484375,batch
256,6,0.0046875,batch
257,6,0.00421875,batch
258,6,0.004375,batch
259,6,0.0046875,batch
260,7,0.00484375,batch
261,7,0.0046875,batch
262,7,0.0046875,batch
263,7,0.0046875,batch
264,7,0.00484375,batch
265,7,0.0046875,batch
266,7,0.0046875,batch
267,7,0.005,batch
268,7,0.00421875,batch
269,7,0.0046875,batch
270,8,0.0046875,batch
271,8,0.0053125,batch
272,8,0.0053125,batch
273,8,0.00484375,batch
274,8,0.0046875,batch
275,8,0.00375,batch
276,8,0.005,batch
277,8,0.005,batch
278,8,0.00453125,batch
279,8,0.00359375,batch
280,9,0.00453125,batch
281,9,0.00359375,batch
282,9,0.00328125,batch
283,9,0.00296875,batch
284,9,0.00421875,batch
285,9,0.00578125,batch
286,9,0.00484375,batch
287,9,0.0053125,batch
288,9,0.005625,batch
289,9,0.00546875,batch
290,10,0.005,batch
291,10,0.005,batch
292,10,0.00453125,batch
293,10,0.00484375,batch
294,10,0.00484375,batch
295,10,0.005,batch
296,10,0.00578125,batch
297,10,0.0053125,batch
298,10,0.00546875,batch
299,10,0.0046875,batch
300,11,0.0046875,batch
301,11,0.003125,batch
302,11,0.0034375,batch
303,11,0.0034375,batch
304,11,0.00484375,batch
305,11,0.004375,batch
306,11,0.00359375,batch
307,11,0.00421875,batch
308,11,0.0034375,batch
309,11,0.0040625,batch
310,12,0.0021875,batch
311,12,0.00390625,batch
312,12,0.00421875,batch
313,12,0.00375,batch
314,12,0.0040625,batch
