epoch,valid_err,test_err,train_err,cost,time_of_test,time_per_sample
86, 0.00442, 0.01235, 0.00514, 0.0314, 29.757, 0.02624
87, 0.00442, 0.01235, 0.00499, 0.0310, 29.332, 0.02587
88, 0.00442, 0.01235, 0.00485, 0.0306, 29.611, 0.02611
89, 0.00442, 0.01146, 0.00477, 0.0303, 29.435, 0.02596
90, 0.00442, 0.01146, 0.00477, 0.0299, 29.582, 0.02609
91, 0.00442, 0.01146, 0.00477, 0.0295, 30.311, 0.02673
92, 0.00442, 0.01146, 0.00455, 0.0292, 29.534, 0.02604
93, 0.00442, 0.01146, 0.00426, 0.0288, 29.271, 0.02581
94, 0.00442, 0.01146, 0.00426, 0.0285, 31.174, 0.02749
95, 0.00442, 0.01146, 0.00419, 0.0281, 29.364, 0.02589
96, 0.00442, 0.01146, 0.00419, 0.0278, 29.506, 0.02602
97, 0.00442, 0.01146, 0.00389, 0.0275, 29.715, 0.02620
98, 0.00442, 0.01146, 0.00382, 0.0272, 29.372, 0.02590
99, 0.00442, 0.01146, 0.00382, 0.0269, 29.277, 0.02582
100, 0.00442, 0.01146, 0.00396, 0.0266, 29.350, 0.02588
101, 0.00442, 0.01146, 0.00389, 0.0263, 29.107, 0.02567
102, 0.00442, 0.01058, 0.00389, 0.0261, 29.006, 0.02558
103, 0.00442, 0.01146, 0.00367, 0.0258, 29.277, 0.02582
104, 0.00442, 0.01146, 0.00374, 0.0255, 30.269, 0.02669
105, 0.00442, 0.01146, 0.00374, 0.0253, 29.646, 0.02614
106, 0.00442, 0.01146, 0.00367, 0.0250, 29.200, 0.02575
107, 0.00442, 0.01146, 0.00360, 0.0248, 32.284, 0.02847
108, 0.00442, 0.01146, 0.00352, 0.0245, 29.661, 0.02616
109, 0.00442, 0.01146, 0.00345, 0.0243, 29.110, 0.02567
110, 0.00442, 0.01146, 0.00345, 0.0241, 29.677, 0.02617
111, 0.00442, 0.01146, 0.00345, 0.0238, 29.042, 0.02561
112, 0.00442, 0.01146, 0.00345, 0.0236, 28.931, 0.02551
113, 0.00442, 0.01146, 0.00345, 0.0234, 29.383, 0.02591
114, 0.00442, 0.01146, 0.00338, 0.0232, 29.151, 0.02571
115, 0.00442, 0.01146, 0.00330, 0.0229, 29.272, 0.02581
116, 0.00442, 0.01146, 0.00323, 0.0227, 28.815, 0.02541
117, 0.00442, 0.01146, 0.00323, 0.0225, 29.019, 0.02559
118, 0.00442, 0.01146, 0.00316, 0.0223, 29.609, 0.02611
119, 0.00442, 0.01146, 0.00316, 0.0221, 29.362, 0.02589
120, 0.00442, 0.01146, 0.00308, 0.0219, 31.248, 0.02756
121, 0.00442, 0.01146, 0.00316, 0.0217, 31.010, 0.02735
122, 0.00442, 0.01146, 0.00308, 0.0215, 29.686, 0.02618
123, 0.00442, 0.01146, 0.00308, 0.0214, 29.536, 0.02605
124, 0.00442, 0.01146, 0.00308, 0.0212, 29.359, 0.02589
125, 0.00442, 0.01146, 0.00301, 0.0210, 29.500, 0.02601
126, 0.00442, 0.01146, 0.00301, 0.0208, 29.619, 0.02612
127, 0.00442, 0.01146, 0.00301, 0.0206, 29.069, 0.02563
128, 0.00442, 0.01146, 0.00294, 0.0205, 30.591, 0.02698
129, 0.00442, 0.01146, 0.00294, 0.0203, 29.690, 0.02618
130, 0.00442, 0.01146, 0.00286, 0.0201, 29.114, 0.02567
131, 0.00442, 0.01146, 0.00286, 0.0200, 29.090, 0.02565
132, 0.00442, 0.01146, 0.00279, 0.0198, 29.405, 0.02593
133, 0.00442, 0.01146, 0.00279, 0.0196, 30.203, 0.02663
134, 0.00442, 0.01146, 0.00279, 0.0195, 29.405, 0.02593
135, 0.00442, 0.01146, 0.00264, 0.0193, 29.259, 0.02580
136, 0.00442, 0.01146, 0.00257, 0.0192, 31.285, 0.02759
137, 0.00442, 0.01146, 0.00250, 0.0190, 29.428, 0.02595
138, 0.00442, 0.01146, 0.00250, 0.0189, 29.211, 0.02576
139, 0.00442, 0.01146, 0.00250, 0.0187, 29.455, 0.02597
140, 0.00442, 0.01146, 0.00228, 0.0186, 29.226, 0.02577
141, 0.00442, 0.01146, 0.00235, 0.0184, 29.330, 0.02586
142, 0.00442, 0.01058, 0.00220, 0.0183, 28.949, 0.02553
143, 0.00442, 0.01146, 0.00220, 0.0181, 29.522, 0.02603
144, 0.00442, 0.01058, 0.00220, 0.0180, 29.185, 0.02574
145, 0.00442, 0.01058, 0.00220, 0.0178, 28.984, 0.02556
146, 0.00442, 0.01058, 0.00213, 0.0177, 29.538, 0.02605
147, 0.00442, 0.01058, 0.00220, 0.0176, 29.397, 0.02592
